"Datacenter";"Name";"TotalSpaceGB";"Type";"UsedSpaceGB";"ProvisionedSpaceGB";"FreeSpaceGB";"NumVM";"NumVMHost"
"SAV";"esx24_localstore";"132";"VMFS";"7";"19";"124";"1";"1"
"SAV";"esx25_localstore";"132";"VMFS";"1";"1";"131";"0";"1"
"SAV";"esx26_localstore";"132";"VMFS";"1";"1";"131";"0";"1"
"SAV";"esx27_localstore";"272";"VMFS";"1";"1";"271";"0";"1"
"SAV";"esx28_localstore";"925";"VMFS";"329";"346";"596";"2";"1"
"SAV";"esx29_localstore";"925";"VMFS";"23";"25";"902";"1";"1"
"SAV";"esx30_localstore";"1857";"VMFS";"771";"1367";"1086";"7";"1"
"SAV";"esx32_localstore";"27";"VMFS";"1";"1";"26";"0";"1"
"SAV";"esx33_localstore";"27";"VMFS";"1";"1";"26";"0";"1"
"SAV";"esx36_localstore";"924";"VMFS";"1";"1";"923";"0";"1"
"SAV";"esx36_localstore2";"931";"VMFS";"191";"191";"740";"2";"1"
"SAV";"esx39_localstore";"5580";"VMFS";"2908";"3027";"2671";"27";"1"
"HUTOR";"isostore";"404";"NFS";"343";"343";"61";"9";"8"
"SAV";"isostore";"404";"NFS";"361";"361";"42";"57";"43"
"SAV";"localstore_raid10";"558";"VMFS";"182";"211";"376";"2";"1"
"SAV";"mcu_localstore";"279";"VMFS";"81";"81";"198";"1";"1"
"SAV";"mcu_localstore2";"2794";"VMFS";"2055";"2353";"739";"14";"1"
"SAV";"MSA1040_DMZ_01";"5583";"VMFS";"4334";"6071";"1249";"73";"19"
"SAV";"MSA1040_DMZ_02";"5583";"VMFS";"4462";"6885";"1121";"74";"19"
"SAV";"MSA1040_DMZ_03";"4653";"VMFS";"2678";"5366";"1974";"62";"19"
"SAV";"MSA1040_R6_10k";"5024";"VMFS";"3795";"6598";"1229";"97";"20"
"SAV";"MSA1040_R6_7.2k";"8375";"VMFS";"7711";"10980";"664";"77";"21"
"SAV";"MSA1040LFF_01";"11167";"VMFS";"7477";"11680";"3690";"75";"20"
"SAV";"MSA1040LFF_02";"11167";"VMFS";"9352";"14383";"1815";"91";"20"
"SAV";"MSA1040LFF_03";"11167";"VMFS";"9082";"13099";"2085";"52";"20"
"SAV";"MSAp2000g3_R10";"5583";"VMFS";"4265";"4482";"1318";"18";"7"
"SAV";"MSAp2000g3_R6";"7444";"VMFS";"4746";"5104";"2699";"6";"7"
"HUTOR";"MSAp2000g3_r6_lun0";"5583";"VMFS";"4771";"6042";"812";"32";"5"
"HUTOR";"MSAp2000g3_r6_lun1";"5583";"VMFS";"5127";"7249";"456";"51";"5"
"SAV";"nexenta2";"8197";"NFS";"2819";"9317";"5378";"86";"22"
"SAV";"p2v_r6_localstore";"11171";"VMFS";"3675";"3715";"7496";"41";"1"
"SAV";"p2v2-r10-localstore";"3720";"VMFS";"2485";"2641";"1235";"28";"1"
"SAV";"prime-datastore-SSD";"888";"VMFS";"231";"909";"657";"1";"1"
"SAV";"vm04_localstore";"1857";"VMFS";"1143";"1383";"714";"13";"1"
"HUTOR";"vm09-localstore";"1857";"VMFS";"1542";"2391";"315";"15";"1"
"HUTOR";"vm11_localstore";"1862";"VMFS";"727";"906";"1135";"4";"1"
"HUTOR";"vm11_localstore2";"1863";"VMFS";"712";"925";"1151";"3";"1"
"HUTOR";"vm11_localstore3";"1863";"VMFS";"1";"1";"1862";"0";"1"
"HUTOR";"vm11_localstore4";"1863";"VMFS";"1";"1";"1862";"0";"1"
"HUTOR";"vm11_localstore5";"1863";"VMFS";"1";"1";"1862";"0";"1"
"HUTOR";"vm11_localstore6";"1863";"VMFS";"1";"1";"1862";"0";"1"
"SAV";"vm12_localstore";"3720";"VMFS";"947";"1357";"2773";"13";"1"
"SAV";"vm15_localstore";"1857";"VMFS";"1461";"1857";"396";"16";"1"
"HUTOR";"vm17_localstore";"925";"VMFS";"461";"820";"464";"20";"1"
"HUTOR";"vm18_localstore";"3720";"VMFS";"1477";"1635";"2243";"13";"1"
"HUTOR";"vm19_localstore";"461";"VMFS";"340";"609";"121";"5";"1"
"HUTOR";"vm20-localstore_adaptec";"1862";"VMFS";"1194";"1194";"667";"5";"1"
"HUTOR";"vm20-localstore_lsi";"925";"VMFS";"729";"730";"196";"6";"1"
"HUTOR";"vm21_localstore2";"1862";"VMFS";"1070";"1073";"791";"1";"1"
"SAV";"vsanDatastore";"11066";"vsan";"3403";"5012";"7663";"41";"3"
"SAV";"zproxy-r24_localstore";"461";"VMFS";"1";"1";"460";"0";"1"
"SAV";"zproxy-r24_localstore2";"466";"VMFS";"17";"30";"449";"2";"1"
"SAV";"zproxy-r39_localstore";"461";"VMFS";"18";"33";"443";"2";"1"
"SAV";"zproxy-r39_localstore2";"466";"VMFS";"1";"1";"465";"0";"1"
